avg_rating,backup_location,btih,call_number,collection,contributor,coverage,creator,date,description,downloads,external-identifier,foldoutcount,format,genre,identifier,imagecount,indexflag,item_size,language,language_full,licenseurl,mediatype,members,month,name,noindex,num_reviews,oai_updatedate,platform,publicdate,publisher,related-external-id,reviewdate,rights,scanningcentre,source,stripped_tags,subject,title,title_cleaned,type,volume,week,year
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin 85 12 (1985)(Markt & Technik)(de),123,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_85-12_1985_Markt_Technik_de,,"index,nonoindex",664987,eng,English,,software,,2,,,,"14.04.2021, 12.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin 85 12 (1985)(Markt & Technik)(de),64'er Magazin,,,1,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin 86 01 (1986)(Markt & Technik)(de),120,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_86-01_1986_Markt_Technik_de,,"index,nonoindex",677306,eng,English,,software,,1,,,,"14.04.2021, 11.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin 86 01 (1986)(Markt & Technik)(de),64'er Magazin,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin 86 02 (1986)(Markt & Technik)(de),97,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_86-02_1986_Markt_Technik_de,,"index,nonoindex",677309,eng,English,,software,,1,,,,"14.04.2021, 18.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin 86 02 (1986)(Markt & Technik)(de),64'er Magazin,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin 86 03 (1986)(Markt & Technik)(de),109,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_86-03_1986_Markt_Technik_de,,"index,nonoindex",1110089,eng,English,,software,,8,,,,"14.04.2021, 17.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin 86 03 (1986)(Markt & Technik)(de),64'er Magazin,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin 86 04 (1986)(Markt & Technik)(de),114,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_86-04_1986_Markt_Technik_de,,"index,nonoindex",1199629,eng,English,,software,,2,,,,"14.04.2021, 20.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin 86 04 (1986)(Markt & Technik)(de),64'er Magazin,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin 86 05 (1986)(Markt & Technik)(de),101,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_86-05_1986_Markt_Technik_de,,"index,nonoindex",1323849,eng,English,,software,,1,,,,"14.04.2021, 17.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin 86 05 (1986)(Markt & Technik)(de),64'er Magazin,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin 86 06 (1986)(Markt & Technik)(de)(Side A),89,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_86-06_1986_Markt_Technik_de_Side_A,,"index,nonoindex",521676,eng,English,,software,,1,,,,"14.04.2021, 20.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin 86 06 (1986)(Markt & Technik)(de)(Side A),64'er Magazin,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin 86 06 (1986)(Markt & Technik)(de)(Side B),88,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_86-06_1986_Markt_Technik_de_Side_B,,"index,nonoindex",380233,eng,English,,software,,0,,,,"14.04.2021, 06.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin 86 06 (1986)(Markt & Technik)(de)(Side B),64'er Magazin,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin 86 07 (1986)(Markt & Technik)(de),88,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_86-07_1986_Markt_Technik_de,,"index,nonoindex",862748,eng,English,,software,,1,,,,"14.04.2021, 15.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin 86 07 (1986)(Markt & Technik)(de),64'er Magazin,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin 86 08 (1986)(Markt & Technik)(de)(Side A),89,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_86-08_1986_Markt_Technik_de_Side_A,,"index,nonoindex",620959,eng,English,,software,,1,,,,"14.04.2021, 19.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin 86 08 (1986)(Markt & Technik)(de)(Side A),64'er Magazin,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin 86 08 (1986)(Markt & Technik)(de)(Side B),83,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_86-08_1986_Markt_Technik_de_Side_B,,"index,nonoindex",580686,eng,English,,software,,0,,,,"14.04.2021, 11.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin 86 08 (1986)(Markt & Technik)(de)(Side B),64'er Magazin,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin 86 09 (1986)(Markt & Technik)(de),86,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_86-09_1986_Markt_Technik_de,,"index,nonoindex",856545,eng,English,,software,,1,,,,"14.04.2021, 19.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin 86 09 (1986)(Markt & Technik)(de),64'er Magazin,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin 86 10 (1986)(Markt & Technik)(de)(Side A),91,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_86-10_1986_Markt_Technik_de_Side_A,,"index,nonoindex",951939,eng,English,,software,,0,,,,"14.04.2021, 14.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin 86 10 (1986)(Markt & Technik)(de)(Side A),64'er Magazin,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin 86 10 (1986)(Markt & Technik)(de)(Side B),86,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_86-10_1986_Markt_Technik_de_Side_B,,"index,nonoindex",594030,eng,English,,software,,0,,,,"14.04.2021, 22.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin 86 10 (1986)(Markt & Technik)(de)(Side B),64'er Magazin,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin 86 11 (1986)(Markt & Technik)(de)(Side B),83,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_86-11_1986_Markt_Technik_de_Side_B,,"index,nonoindex",1493642,eng,English,,software,,1,,,,"14.04.2021, 11.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin 86 11 (1986)(Markt & Technik)(de)(Side B),64'er Magazin,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin 86 12 (1986)(Markt & Technik)(de),86,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_86-12_1986_Markt_Technik_de,,"index,nonoindex",671389,eng,English,,software,,1,,,,"14.04.2021, 22.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin 86 12 (1986)(Markt & Technik)(de),64'er Magazin,,,0,
