issue,title,platform,group,release,release_converted,link,download_links,external_download_links
Mini-Mag #08 [german],"Mini Mag, Mini-Mag",Commodore 64,,2 February 2014,02.02.2014,https://csdb.dk//release/?id=129070,http://csdb.dk/getinternalfile.php/127901/Mini Mag #08.rar,http://ftp.pokefinder.org/index.php?s=MiniMag%2008%20german&sourceid=csdb
Mini-Mag #10 [german],"Mini Mag, Mini-Mag",Commodore 64,,16 October 2014,16.10.2014,https://csdb.dk//release/?id=134369,http://csdb.dk/getinternalfile.php/133922/Ausgabe 10.zip,http://ftp.pokefinder.org/index.php?s=MiniMag%2010%20german&sourceid=csdb
Miracle #1,Miracle,Commodore 64,Maniax,January 1992,01.01.1992,https://csdb.dk//release/?id=47894,http://csdb.dk/getinternalfile.php/39038/miracle #1 - maniax.rar,http://ftp.pokefinder.org/index.php?s=Miracle%201&sourceid=csdb
Miracle #2,Miracle,Commodore 64,Maniax,1992,01.01.1992,https://csdb.dk//release/?id=80417,http://csdb.dk/getinternalfile.php/76773/miracle_02.zip,http://ftp.pokefinder.org/index.php?s=Miracle%202&sourceid=csdb
Miracle #3,Miracle,Commodore 64,Maniax,9 June 1992,09.06.1992,https://csdb.dk//release/?id=91012,http://csdb.dk/getinternalfile.php/88297/Miracle3-Maniax.zip,http://ftp.pokefinder.org/index.php?s=Miracle%203&sourceid=csdb
Miracle #4,Miracle,Commodore 64,Maniax,25 August 1992,25.08.1992,https://csdb.dk//release/?id=91015,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Miracle/Miracle_04.zip, http://csdb.dk/getinternalfile.php/88300/Miracle4-Maniax.zip",http://ftp.pokefinder.org/index.php?s=Miracle%204&sourceid=csdb
Miracle #5,Miracle,Commodore 64,Maniax,18 November 1992,18.11.1992,https://csdb.dk//release/?id=91047,"http://csdb.dk/getinternalfile.php/88342/miracle05.zip, http://csdb.dk/getinternalfile.php/140653/miracle05_mnx.zip",http://ftp.pokefinder.org/index.php?s=Miracle%205&sourceid=csdb
Miracle #6,Miracle,Commodore 64,Maniax,11 January 1993,11.01.1993,https://csdb.dk//release/?id=78342,http://csdb.dk/getinternalfile.php/74215/Miracle#6-Maniax.zip,http://ftp.pokefinder.org/index.php?s=Miracle%206&sourceid=csdb
Miracle #7,Miracle,Commodore 64,Maniax,15 March 1993,15.03.1993,https://csdb.dk//release/?id=3463,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Miracle/Miracle_07.zip, http://csdb.dk/getinternalfile.php/64535/Miracle_07.zip",http://ftp.pokefinder.org/index.php?s=Miracle%207&sourceid=csdb
Miracle #8,Miracle,Commodore 64,Maniax,July 1993,01.07.1993,https://csdb.dk//release/?id=18511,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Miracle/Miracle_08.zip, http://csdb.dk/getinternalfile.php/37472/GFXMIR.D64",http://ftp.pokefinder.org/index.php?s=Miracle%208&sourceid=csdb
Miracle #9,Miracle,Commodore 64,Maniax,December 1993,01.12.1993,https://csdb.dk//release/?id=18512,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Miracle/Miracle_09.zip, http://csdb.dk/getinternalfile.php/64536/Miracle_09.zip",http://ftp.pokefinder.org/index.php?s=Miracle%209&sourceid=csdb
