issue,title,platform,group,release,release_converted,link,download_links,external_links
Eurochart 13,Eurochart,Amiga OCS/ECS,Crusaders,November 1991,01.11.1991,https://demozoo.org//productions/109894/,"http://ftp.amigascne.org/pub/amiga/Groups/C/Crusaders/CRUSADERS-Eurocharts13.DMS, https://archive.scene.org/pub/mirrors/amigascne/Groups/C/Crusaders/CRUSADERS-Eurocharts13.DMS, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/C/Crusaders/CRUSADERS-Eurocharts13.DMS","http://janeway.exotica.org.uk/release.php?id=7797, https://www.pouet.net/prod.php?which=9064"
Eurochart 14,Eurochart,Amiga OCS/ECS,Crusaders,January 1992,01.01.1992,https://demozoo.org//productions/109895/,"http://ftp.amigascne.org/pub/amiga/Groups/C/Crusaders/CRUSADERS-Eurochart14.dms, https://archive.scene.org/pub/mirrors/amigascne/Groups/C/Crusaders/CRUSADERS-Eurochart14.dms, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/C/Crusaders/CRUSADERS-Eurochart14.dms","http://janeway.exotica.org.uk/release.php?id=8203, https://www.pouet.net/prod.php?which=9065"
Eurochart 15,Eurochart,Amiga OCS/ECS,Static Bytes,30 June 1992,30.06.1992,https://demozoo.org//productions/109891/,"http://ftp.amigascne.org/pub/amiga/Groups/S/Static_Bytes/STB-Eurochart15.dms, https://archive.scene.org/pub/mirrors/amigascne/Groups/S/Static_Bytes/STB-Eurochart15.dms, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/S/Static_Bytes/STB-Eurochart15.dms","http://janeway.exotica.org.uk/release.php?id=8639, https://www.pouet.net/prod.php?which=11084"
Eurochart 16,Eurochart,Amiga OCS/ECS,Static Bytes,September 1992,01.09.1992,https://demozoo.org//productions/109892/,"http://ftp.amigascne.org/pub/amiga/Groups/S/Static_Bytes/STB-Eurochart16.dms, https://archive.scene.org/pub/mirrors/amigascne/Groups/S/Static_Bytes/STB-Eurochart16.dms, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/S/Static_Bytes/STB-Eurochart16.dms","http://janeway.exotica.org.uk/release.php?id=8819, https://www.pouet.net/prod.php?which=11083"
Eurochart 17,Eurochart,Amiga OCS/ECS,Static Bytes,November 1992,01.11.1992,https://demozoo.org//productions/119708/,,"http://janeway.exotica.org.uk/release.php?id=8969, https://www.pouet.net/prod.php?which=11082"
Eurochart 18,Eurochart,Amiga OCS/ECS,Static Bytes,3 January 1993,03.01.1993,https://demozoo.org//productions/119711/,,"http://janeway.exotica.org.uk/release.php?id=181, https://www.pouet.net/prod.php?which=11081"
Eurochart 19,Eurochart,Amiga OCS/ECS,Static Bytes,May 1993,01.05.1993,https://demozoo.org//productions/119778/,,"http://janeway.exotica.org.uk/release.php?id=9396, https://www.pouet.net/prod.php?which=11080"
Eurochart 20,Eurochart,Amiga OCS/ECS,Static Bytes,July 1993,01.07.1993,https://demozoo.org//productions/119781/,,"http://janeway.exotica.org.uk/release.php?id=9534, https://www.pouet.net/prod.php?which=11079"
Eurochart 21,Eurochart,Amiga OCS/ECS,Static Bytes,September 1993,01.09.1993,https://demozoo.org//productions/119782/,,"http://janeway.exotica.org.uk/release.php?id=9803, https://www.pouet.net/prod.php?which=11075"
Eurochart 22,Eurochart,Amiga OCS/ECS,Static Bytes,November 1993,01.11.1993,https://demozoo.org//productions/119816/,,"http://janeway.exotica.org.uk/release.php?id=9910, https://www.pouet.net/prod.php?which=11078"
