issue,title,platform,group,release,release_converted,link,download_links,external_links
Jurassic Pack 5,Jurassic Pack,Amiga OCS/ECS,Gods,11 June 1997,11.06.1997,https://demozoo.org//productions/94360/,"http://ftp.amigascne.org/pub/amiga/Groups/G/Gods/GODS-JurassicPack05.LHA, https://archive.scene.org/pub/mirrors/amigascne/Groups/G/Gods/GODS-JurassicPack05.LHA, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/G/Gods/GODS-JurassicPack05.LHA","http://janeway.exotica.org.uk/release.php?id=11567, https://www.pouet.net/prod.php?which=9589"
Jurassic Pack 6,Jurassic Pack,Amiga OCS/ECS,Gods,12 April 1998 at,12.04.1998,https://demozoo.org//productions/94354/,"https://files.scene.org/get/parties/1998/mekkasymposium98/misc/gds-jp6.lha, https://files.scene.org/view/parties/1998/mekkasymposium98/misc/gds-jp6.lha","http://janeway.exotica.org.uk/release.php?id=17868, https://www.pouet.net/prod.php?which=9588"
Jurassic Pack 7,Jurassic Pack,Amiga AGA,"Faith, Gods, Haujobb",June 1999,01.06.1999,https://demozoo.org//productions/94361/,"https://files.scene.org/get/mags/jurassic_pack/fgh-jp7.lha, https://files.scene.org/view/mags/jurassic_pack/fgh-jp7.lha","http://janeway.exotica.org.uk/release.php?id=17869, https://www.pouet.net/prod.php?which=9587"
Jurassic Pack 8,Jurassic Pack,Amiga AGA,Darkage,24 November 2001,24.11.2001,https://demozoo.org//productions/43290/,"https://files.scene.org/get/mags/jurassic_pack/dkg-jpo8.lha, https://files.scene.org/view/mags/jurassic_pack/dkg-jpo8.lha","http://janeway.exotica.org.uk/release.php?id=12207, https://www.pouet.net/prod.php?which=9586"
Jurassic Pack 9,Jurassic Pack,Amiga AGA,Scarab,24 February 2002,24.02.2002,https://demozoo.org//productions/25417/,"http://ftp.amigascne.org/pub/amiga/Groups/S/Scarab/S_JPo9.lha, https://archive.scene.org/pub/mirrors/amigascne/Groups/S/Scarab/S_JPo9.lha, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/S/Scarab/S_JPo9.lha, http://www.scarab-amiga.com/files/S_JPo9.lha, https://files.scene.org/get/mags/jurassic_pack/s_jpo9.lha, https://files.scene.org/view/mags/jurassic_pack/s_jpo9.lha","http://www.scarab-amiga.com/script/scarab.cgi?t=1&st=18, http://janeway.exotica.org.uk/release.php?id=12213, https://www.pouet.net/prod.php?which=5594"
Jurassic Pack Preview,Jurassic Pack,Amiga OCS/ECS,Gods,11 August 1995 at,11.08.1995,https://demozoo.org//productions/94356/,"http://ftp.amigascne.org/pub/amiga/Groups/G/Gods/GODS-JurassicPprs.DMS, https://archive.scene.org/pub/mirrors/amigascne/Groups/G/Gods/GODS-JurassicPprs.DMS, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/G/Gods/GODS-JurassicPprs.DMS","http://janeway.exotica.org.uk/release.php?id=10898, https://www.pouet.net/prod.php?which=9594"
Just The Facts #1,Just The Facts,Windows,Class,February 1998,01.02.1998,https://demozoo.org//productions/266250/,"https://files.scene.org/get/mags/just_the_facts/jtf9801.zip, https://files.scene.org/view/mags/just_the_facts/jtf9801.zip, https://ftp.untergrund.net/users/irokos/magz/class/jtf9801.zip","https://defacto2.net/f/a570e, https://www.pouet.net/prod.php?which=22366"
Just The Facts #10,Just The Facts,Windows,Class,October 1998,01.10.1998,https://demozoo.org//productions/302523/,"https://files.scene.org/get/mags/just_the_facts/jtf9810.zip, https://files.scene.org/view/mags/just_the_facts/jtf9810.zip, https://ftp.untergrund.net/users/irokos/magz/class/jtf9810.zip",https://www.pouet.net/prod.php?which=22376
Just The Facts #11,Just The Facts,Windows,Class,November 1998,01.11.1998,https://demozoo.org//productions/302524/,"https://files.scene.org/get/mags/just_the_facts/jtf9811.zip, https://files.scene.org/view/mags/just_the_facts/jtf9811.zip, https://ftp.untergrund.net/users/irokos/magz/class/jtf9811.zip",https://www.pouet.net/prod.php?which=22377
Just The Facts #12,Just The Facts,Windows,Class,December 1998,01.12.1998,https://demozoo.org//productions/302525/,"https://files.scene.org/get/mags/just_the_facts/jtf9812.zip, https://files.scene.org/view/mags/just_the_facts/jtf9812.zip, https://ftp.untergrund.net/users/irokos/magz/class/jtf9812.zip",https://www.pouet.net/prod.php?which=22379
Just The Facts #13,Just The Facts,Windows,Class,January 1999,01.01.1999,https://demozoo.org//productions/302526/,"https://files.scene.org/get/mags/just_the_facts/jtf9901.zip, https://files.scene.org/view/mags/just_the_facts/jtf9901.zip, https://ftp.untergrund.net/users/irokos/magz/class/jtf9901.zip",https://www.pouet.net/prod.php?which=22380
Just The Facts #14,Just The Facts,Windows,Class,February 1999,01.02.1999,https://demozoo.org//productions/302527/,"https://files.scene.org/get/mags/just_the_facts/jtf9902.zip, https://files.scene.org/view/mags/just_the_facts/jtf9902.zip, https://ftp.untergrund.net/users/irokos/magz/class/jtf9902.zip",https://www.pouet.net/prod.php?which=22381
Just The Facts #15,Just The Facts,Windows,Class,March 1999,01.03.1999,https://demozoo.org//productions/302528/,"https://files.scene.org/get/mags/just_the_facts/jtf9903.zip, https://files.scene.org/view/mags/just_the_facts/jtf9903.zip, https://ftp.untergrund.net/users/irokos/magz/class/jtf9903.zip",https://www.pouet.net/prod.php?which=22382
Just The Facts #16,Just The Facts,Windows,Class,April 1999,01.04.1999,https://demozoo.org//productions/302529/,"https://files.scene.org/get/mags/just_the_facts/jtf9904.zip, https://files.scene.org/view/mags/just_the_facts/jtf9904.zip, https://ftp.untergrund.net/users/irokos/magz/class/jtf9904.zip",https://www.pouet.net/prod.php?which=22383
Just The Facts #2,Just The Facts,Windows,Class,March 1998,01.03.1998,https://demozoo.org//productions/266255/,"https://files.scene.org/get/mags/just_the_facts/jtf9802.zip, https://files.scene.org/view/mags/just_the_facts/jtf9802.zip, https://ftp.untergrund.net/users/irokos/magz/class/jtf9802.zip",https://www.pouet.net/prod.php?which=22367
Just The Facts #3,Just The Facts,Windows,Class,April 1998,01.04.1998,https://demozoo.org//productions/266256/,"https://files.scene.org/get/mags/just_the_facts/jtf9803.zip, https://files.scene.org/view/mags/just_the_facts/jtf9803.zip, https://ftp.untergrund.net/users/irokos/magz/class/jtf9803.zip",https://www.pouet.net/prod.php?which=22368
Just The Facts #4,Just The Facts,Windows,Class,May 1998,01.05.1998,https://demozoo.org//productions/266257/,"ftp://www.untergrund.net/users/irokos/magz/class/jtf9804_winxp.zip, https://files.scene.org/get/mags/just_the_facts/jtf9804.zip, https://files.scene.org/view/mags/just_the_facts/jtf9804.zip, https://ftp.untergrund.net/users/irokos/magz/class/jtf9804.zip",https://www.pouet.net/prod.php?which=22369
Just The Facts #5,Just The Facts,Windows,Class,May 1998,01.05.1998,https://demozoo.org//productions/267396/,https://ftp.untergrund.net/users/irokos/magz/class/jtf9805.zip,https://www.pouet.net/prod.php?which=22370
Just The Facts #6,Just The Facts,Windows,Class,May 1998,01.05.1998,https://demozoo.org//productions/302519/,"https://files.scene.org/get/mags/just_the_facts/jtf9805.zip, https://files.scene.org/view/mags/just_the_facts/jtf9805.zip, https://ftp.untergrund.net/users/irokos/magz/class/jtf9806.zip",https://www.pouet.net/prod.php?which=22371
Just The Facts #7,Just The Facts,Windows,Class,July 1998,01.07.1998,https://demozoo.org//productions/302520/,"https://files.scene.org/get/mags/just_the_facts/jtf9807.zip, https://files.scene.org/view/mags/just_the_facts/jtf9807.zip, https://ftp.untergrund.net/users/irokos/magz/class/jtf9807.zip",https://www.pouet.net/prod.php?which=22372
Just The Facts #8,Just The Facts,Windows,Class,August 1998,01.08.1998,https://demozoo.org//productions/302521/,"https://files.scene.org/get/mags/just_the_facts/jtf9808.zip, https://files.scene.org/view/mags/just_the_facts/jtf9808.zip, https://ftp.untergrund.net/users/irokos/magz/class/jtf9808.zip",https://www.pouet.net/prod.php?which=22374
Just The Facts #9,Just The Facts,Windows,Class,September 1998,01.09.1998,https://demozoo.org//productions/302522/,"https://files.scene.org/get/mags/just_the_facts/jtf9809.zip, https://files.scene.org/view/mags/just_the_facts/jtf9809.zip, https://ftp.untergrund.net/users/irokos/magz/class/jtf9809.zip",https://www.pouet.net/prod.php?which=22375
Justice 4 All #01,Justice 4 All,Commodore 64,Megadeath,1990,01.01.1990,https://demozoo.org//productions/205073/,http://csdb.dk/getinternalfile.php/151905/justice4all01.zip,"https://csdb.dk/release/?id=150598, https://www.pouet.net/prod.php?which=81577"
Justice 4 All #02,Justice 4 All,Commodore 64,Megadeath,18 August 1990,18.08.1990,https://demozoo.org//productions/205098/,http://csdb.dk/getinternalfile.php/100197/justice_4_all_issue2-megadeath.zip,"https://csdb.dk/release/?id=102545, https://www.pouet.net/prod.php?which=81586"
K-Rad & Elite 2,K-Rad & Elite 2,Amiga OCS/ECS,Raj!,21 April 1995,21.04.1995,https://demozoo.org//productions/212231/,"http://ftp.amigascne.org/pub/amiga/Groups/NoGroup/K-Rad%26Elite2.DMS, https://archive.scene.org/pub/mirrors/amigascne/Groups/NoGroup/K-Rad%26Elite2.DMS, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/NoGroup/K-Rad%26Elite2.DMS",http://janeway.exotica.org.uk/release.php?id=72615
Kalafior 3,Kalafior,Commodore 64,Lasser,5 August 2000 at,05.08.2000,https://demozoo.org//productions/176369/,http://csdb.dk/getinternalfile.php/68980/Kalafior%20#3.d64,https://csdb.dk/release/?id=73851
Karmelia 1,Karmelia,Amiga OCS/ECS,Karmelia,19 December 1992,19.12.1992,https://demozoo.org//productions/248142/,"http://ftp.amigascne.org/pub/amiga/Groups/K/K-Others/Karmelia-Karmelia1.adf, https://archive.scene.org/pub/mirrors/amigascne/Groups/K/K-Others/Karmelia-Karmelia1.adf, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/K/K-Others/Karmelia-Karmelia1.adf, https://files.scene.org/get/mags/karmelia/karmelia1.zip, https://files.scene.org/view/mags/karmelia/karmelia1.zip",http://janeway.exotica.org.uk/release.php?id=73166
Karmelia 2,Karmelia,Amiga OCS/ECS,Karmelia,October 1993,01.10.1993,https://demozoo.org//productions/248143/,"http://ftp.amigascne.org/pub/amiga/Groups/Magazines/Karmelia2.adf, https://archive.scene.org/pub/mirrors/amigascne/Groups/Magazines/Karmelia2.adf, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/Magazines/Karmelia2.adf, https://files.scene.org/get/mags/karmelia/karmelia2.zip, https://files.scene.org/view/mags/karmelia/karmelia2.zip",http://janeway.exotica.org.uk/release.php?id=76071
Karmelia 3,Karmelia,Amiga OCS/ECS,Madness,1993,01.01.1993,https://demozoo.org//productions/248745/,"http://ftp.amigascne.org/pub/amiga/Groups/M/Madness/Madness-Karmelia3.adf, https://archive.scene.org/pub/mirrors/amigascne/Groups/M/Madness/Madness-Karmelia3.adf, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/M/Madness/Madness-Karmelia3.adf, https://files.scene.org/get/mags/karmelia/karmelia3.zip, https://files.scene.org/view/mags/karmelia/karmelia3.zip",http://janeway.exotica.org.uk/release.php?id=73186
Karmelia 4,Karmelia,Amiga OCS/ECS,Madness,25 March 2016,25.03.2016,https://demozoo.org//productions/154859/,"http://ftp.amigascne.org/pub/amiga/Groups/Magazines/karmelia4.adf, https://archive.scene.org/pub/mirrors/amigascne/Groups/Magazines/karmelia4.adf, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/Magazines/karmelia4.adf, http://fatmagnus.ppa.pl/pobierz_plik.php?uid=359, https://files.scene.org/get/mags/karmelia/karmelia4.zip, https://files.scene.org/view/mags/karmelia/karmelia4.zip","http://janeway.exotica.org.uk/release.php?id=79315, https://www.pouet.net/prod.php?which=67092"
Katharsis Review,Katharsis Review,MS-Dos,The Reviewers Guild,4 June 1997,04.06.1997,https://demozoo.org//productions/287665/,"https://files.scene.org/get/mags/reviews/trg/katharsis_review.zip, https://files.scene.org/view/mags/reviews/trg/katharsis_review.zip",
Kebab 1,"Kebab, Kebab Magazine",Amiga OCS/ECS,Quartet,September 1990,01.09.1990,https://demozoo.org//productions/213528/,"http://ftp.amigascne.org/pub/amiga/Groups/Q/Quartet/Quartet-Kebab1.adf, https://archive.scene.org/pub/mirrors/amigascne/Groups/Q/Quartet/Quartet-Kebab1.adf, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/Q/Quartet/Quartet-Kebab1.adf, https://files.scene.org/get/mags/kebab/1.dms, https://files.scene.org/view/mags/kebab/1.dms","http://janeway.exotica.org.uk/release.php?id=71747, https://www.pouet.net/prod.php?which=65798"
Kebab 2,"Kebab, Kebab Magazine",Amiga OCS/ECS,Quartet,30 September 1990,30.09.1990,https://demozoo.org//productions/213529/,"http://ftp.amigascne.org/pub/amiga/Groups/Q/Quartet/Quartet-Kebab2, https://archive.scene.org/pub/mirrors/amigascne/Groups/Q/Quartet/Quartet-Kebab2, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/Q/Quartet/Quartet-Kebab2, https://files.scene.org/get/mags/kebab/2.dms, https://files.scene.org/view/mags/kebab/2.dms","http://janeway.exotica.org.uk/release.php?id=71749, https://www.pouet.net/prod.php?which=65799"
Kebab 3,"Kebab, Kebab Magazine",Amiga OCS/ECS,Quartet,2 November 1990,02.11.1990,https://demozoo.org//productions/213530/,"http://ftp.amigascne.org/pub/amiga/Groups/Q/Quartet/Quartet-Kebab3, https://archive.scene.org/pub/mirrors/amigascne/Groups/Q/Quartet/Quartet-Kebab3, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/Q/Quartet/Quartet-Kebab3, https://files.scene.org/get/mags/kebab/3.dms, https://files.scene.org/view/mags/kebab/3.dms","http://janeway.exotica.org.uk/release.php?id=71752, https://www.pouet.net/prod.php?which=65800"
Kebab 4,"Kebab, Kebab Magazine",Amiga OCS/ECS,Quartet,3 December 1990,03.12.1990,https://demozoo.org//productions/213531/,"http://ftp.amigascne.org/pub/amiga/Groups/Q/Quartet/Quartet-Kebab4, https://archive.scene.org/pub/mirrors/amigascne/Groups/Q/Quartet/Quartet-Kebab4, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/Q/Quartet/Quartet-Kebab4, https://files.scene.org/get/mags/kebab/4.dms, https://files.scene.org/view/mags/kebab/4.dms","http://janeway.exotica.org.uk/release.php?id=71755, https://www.pouet.net/prod.php?which=65801"
Kebab 5,"Kebab, Kebab Magazine",Amiga OCS/ECS,Quartet,February 1991,01.02.1991,https://demozoo.org//productions/213532/,"http://ftp.amigascne.org/pub/amiga/Groups/Q/Quartet/Quartet-Kebab5.adf, https://archive.scene.org/pub/mirrors/amigascne/Groups/Q/Quartet/Quartet-Kebab5.adf, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/Q/Quartet/Quartet-Kebab5.adf, https://files.scene.org/get/mags/kebab/5.dms, https://files.scene.org/view/mags/kebab/5.dms","http://janeway.exotica.org.uk/release.php?id=71759, https://www.pouet.net/prod.php?which=65802"
Kelaug Issue 1,Kelaug,Atari ST/E,Kelstar Atari User Group,,,https://demozoo.org//productions/91200/,https://ftp.untergrund.net/users/ltk_tscc/fujiology/MAGS/KELAUG/KELAUG01.ZIP,
Kelaug Issue 10,Kelaug,Atari ST/E,Kelstar Atari User Group,,,https://demozoo.org//productions/91209/,https://ftp.untergrund.net/users/ltk_tscc/fujiology/MAGS/KELAUG/KELAUG10.ZIP,
Kelaug Issue 11,Kelaug,Atari ST/E,Kelstar Atari User Group,,,https://demozoo.org//productions/91210/,https://ftp.untergrund.net/users/ltk_tscc/fujiology/MAGS/KELAUG/KELAUG11.ZIP,
Kelaug Issue 2,Kelaug,Atari ST/E,Kelstar Atari User Group,,,https://demozoo.org//productions/91201/,https://ftp.untergrund.net/users/ltk_tscc/fujiology/MAGS/KELAUG/KELAUG02.ZIP,
Kelaug Issue 3,Kelaug,Atari ST/E,Kelstar Atari User Group,,,https://demozoo.org//productions/91202/,,
Kelaug Issue 4,Kelaug,Atari ST/E,Kelstar Atari User Group,,,https://demozoo.org//productions/91203/,https://ftp.untergrund.net/users/ltk_tscc/fujiology/MAGS/KELAUG/KELAUG04.ZIP,
Kelaug Issue 5,Kelaug,Atari ST/E,Kelstar Atari User Group,,,https://demozoo.org//productions/91204/,https://ftp.untergrund.net/users/ltk_tscc/fujiology/MAGS/KELAUG/KELAUG05.ZIP,
Kelaug Issue 6,Kelaug,Atari ST/E,Kelstar Atari User Group,,,https://demozoo.org//productions/91205/,https://ftp.untergrund.net/users/ltk_tscc/fujiology/MAGS/KELAUG/KELAUG06.ZIP,
Kelaug Issue 7,Kelaug,Atari ST/E,Kelstar Atari User Group,,,https://demozoo.org//productions/91206/,https://ftp.untergrund.net/users/ltk_tscc/fujiology/MAGS/KELAUG/KELAUG07.ZIP,
Kelaug Issue 8,Kelaug,Atari ST/E,Kelstar Atari User Group,,,https://demozoo.org//productions/91207/,https://ftp.untergrund.net/users/ltk_tscc/fujiology/MAGS/KELAUG/KELAUG08.ZIP,
Kelaug Issue 9,Kelaug,Atari ST/E,Kelstar Atari User Group,,,https://demozoo.org//productions/91208/,https://ftp.untergrund.net/users/ltk_tscc/fujiology/MAGS/KELAUG/KELAUG09.ZIP,
Kelstar Club Disk 2,Kelstar,Atari ST/E,Bob Kell,,,https://demozoo.org//productions/157640/,https://ftp.untergrund.net/users/ltk_tscc/fujiology/MAGS/KELSTAR/KELCLB02.ZIP,
Kelstar Club Disk 3,Kelstar,Atari ST/E,Bob Kell,,,https://demozoo.org//productions/91971/,https://ftp.untergrund.net/users/ltk_tscc/fujiology/MAGS/KELSTAR/KELCLB03.ZIP,
Kelstar II Issue 1,Kelstar,Atari ST/E,Bob Kell,,,https://demozoo.org//productions/91218/,https://ftp.untergrund.net/users/ltk_tscc/fujiology/MAGS/KELSTAR2/KELSTAR2.ZIP,
Kelstar Issue 1,Kelstar,Atari ST/E,Bob Kell,January 1995,01.01.1995,https://demozoo.org//productions/91211/,https://ftp.untergrund.net/users/ltk_tscc/fujiology/MAGS/KELSTAR/KELSTR01.ZIP,
Kelstar Issue 2,Kelstar,Atari ST/E,Bob Kell,March 1996,01.03.1996,https://demozoo.org//productions/91212/,https://ftp.untergrund.net/users/ltk_tscc/fujiology/MAGS/KELSTAR/KELSTR02.ZIP,
Kelstar Issue 3,Kelstar,Atari ST/E,Bob Kell,May 1996,01.05.1996,https://demozoo.org//productions/91213/,https://ftp.untergrund.net/users/ltk_tscc/fujiology/MAGS/KELSTAR/KELSTR03.ZIP,
Kelstar Issue 4,Kelstar,Atari ST/E,Bob Kell,June 1996,01.06.1996,https://demozoo.org//productions/91214/,https://ftp.untergrund.net/users/ltk_tscc/fujiology/MAGS/KELSTAR/KELSTR04.ZIP,
Kelstar Issue 5,Kelstar,Atari ST/E,Bob Kell,September 1996,01.09.1996,https://demozoo.org//productions/91215/,https://ftp.untergrund.net/users/ltk_tscc/fujiology/MAGS/KELSTAR/KELSTR05.ZIP,
Kelstar Issue 6,Kelstar,Atari ST/E,Bob Kell,November 1996,01.11.1996,https://demozoo.org//productions/91216/,https://ftp.untergrund.net/users/ltk_tscc/fujiology/MAGS/KELSTAR/KELSTR06.ZIP,
Kelstar Issue 7,Kelstar,Atari ST/E,Bob Kell,January 1997,01.01.1997,https://demozoo.org//productions/91217/,https://ftp.untergrund.net/users/ltk_tscc/fujiology/MAGS/KELSTAR/KELSTR07.ZIP,
Kendermag #1,Kendermag,MS-Dos,Renegades,,,https://demozoo.org//productions/286500/,"https://files.scene.org/get/mirrors/flerp/.2/Diskmag/KenderMag.hun/km%2301.zip, https://files.scene.org/view/mirrors/flerp/.2/Diskmag/KenderMag.hun/km%2301.zip",
Kendermag #16,Kendermag,MS-Dos,Renegades,8 September 1997,08.09.1997,https://demozoo.org//productions/286501/,"https://files.scene.org/get/mirrors/flerp/.2/Diskmag/KenderMag.hun/km%2316.zip, https://files.scene.org/view/mirrors/flerp/.2/Diskmag/KenderMag.hun/km%2316.zip",
Kick Off 97 Review,Kick Off 97 Review,MS-Dos,The Reviewers Guild,15 March 1997,15.03.1997,https://demozoo.org//productions/287667/,"https://files.scene.org/get/mags/reviews/trg/kick_off_97_review.zip, https://files.scene.org/view/mags/reviews/trg/kick_off_97_review.zip",
Kithe #1,Kithe,MS-Dos,Mistigris,2 October 1994,02.10.1994,https://demozoo.org//productions/139816/,http://sixteencolors.net/pack/mist1094/KITHE-01.ZIP/download,https://www.pouet.net/prod.php?which=6207
Kithe #10,Kithe,MS-Dos,Mistigris,February 1996,01.02.1996,https://demozoo.org//productions/139825/,http://sixteencolors.net/pack/mist0296/KITHE%2310.ZIP/download,
Kithe #11 - the Kithe Cookbook,Kithe,MS-Dos,Mistigris,September 1996,01.09.1996,https://demozoo.org//productions/139826/,http://sixteencolors.net/pack/mist0996/KITHE%2311.ZIP/download,
Kithe #12,Kithe,MS-Dos,Mistigris,October 1996,01.10.1996,https://demozoo.org//productions/139827/,http://sixteencolors.net/pack/mist2yr1/KITHE12.ZIP/download,
Kithe #13,Kithe,MS-Dos,Mistigris,July 1997,01.07.1997,https://demozoo.org//productions/139828/,http://sixteencolors.net/pack/mist0797/KITHE%2313.ZIP/download,
Kithe #14,Kithe,MS-Dos,Mistigris,October 1997,01.10.1997,https://demozoo.org//productions/139829/,http://sixteencolors.net/pack/mist3yra/KITHE-14.ZIP/download,
Kithe #2,Kithe,MS-Dos,Mistigris,November 1994,01.11.1994,https://demozoo.org//productions/139817/,http://sixteencolors.net/pack/mist1194/KITHE%232.ZIP/download,
Kithe #3,Kithe,MS-Dos,Mistigris,December 1994,01.12.1994,https://demozoo.org//productions/139818/,http://sixteencolors.net/pack/mist1294/KITHE%233.ZIP/download,
Kithe #4,Kithe,MS-Dos,Mistigris,January 1995,01.01.1995,https://demozoo.org//productions/139819/,http://sixteencolors.net/pack/mist0195/KITHE%234.ZIP/download,
Kithe #5,Kithe,MS-Dos,Mistigris,March 1995,01.03.1995,https://demozoo.org//productions/139820/,http://sixteencolors.net/pack/mist0395/KITHE%235.ZIP/download,
Kithe #6,Kithe,MS-Dos,Mistigris,April 1995,01.04.1995,https://demozoo.org//productions/139821/,http://sixteencolors.net/pack/mist0495/KITHE%236.ZIP,
Kithe #8,Kithe,MS-Dos,Mistigris,August 1995,01.08.1995,https://demozoo.org//productions/139823/,http://sixteencolors.net/pack/mist0895/KITHE.ZIP/download,
Kithe #9,Kithe,MS-Dos,Mistigris,January 1996,01.01.1996,https://demozoo.org//productions/139824/,http://sixteencolors.net/pack/mist0196/KITHE%239.ZIP/download,
KMAC #6,KMAC,Amiga OCS/ECS,Odbyt Design,24 December 2018,24.12.2018,https://demozoo.org//productions/252511/,"http://ftp.amigascne.org/pub/amiga/Groups/O/OdbytProduction/Odbyt-KMAC6.adf, https://archive.scene.org/pub/mirrors/amigascne/Groups/O/OdbytProduction/Odbyt-KMAC6.adf, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/O/OdbytProduction/Odbyt-KMAC6.adf","http://janeway.exotica.org.uk/release.php?id=91359, https://www.pouet.net/prod.php?which=79644"
KMAC 1,KMAC,Amiga AGA,"Azazoth, Cedyn, Dominik Szafranski, Helmer, Klocek, Mr. Uhu, Sandan, Scorpik, Shogoth, Verbes",30 August 1997,30.08.1997,https://demozoo.org//productions/211852/,"http://ftp.amigascne.org/pub/amiga/Groups/Magazines/Kmac1.adf, https://archive.scene.org/pub/mirrors/amigascne/Groups/Magazines/Kmac1.adf, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/Magazines/Kmac1.adf",http://janeway.exotica.org.uk/release.php?id=71874
KMAC 3,KMAC,Amiga AGA,Vodka People,1 June 1998,01.06.1998,https://demozoo.org//productions/311965/,"http://ftp.amigascne.org/pub/amiga/Groups/Magazines/Kmac3.lha, https://archive.scene.org/pub/mirrors/amigascne/Groups/Magazines/Kmac3.lha, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/Magazines/Kmac3.lha",http://janeway.exotica.org.uk/release.php?id=96708
KMAC 4,KMAC,Amiga AGA,OftenHide,15 February 1999,15.02.1999,https://demozoo.org//productions/311966/,"http://ftp.amigascne.org/pub/amiga/Groups/O/O-Others/OftenHide-KMAC4, https://archive.scene.org/pub/mirrors/amigascne/Groups/O/O-Others/OftenHide-KMAC4, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/O/O-Others/OftenHide-KMAC4",http://janeway.exotica.org.uk/release.php?id=96615
KMAC 5,KMAC,Amiga OCS/ECS,"OftenHide, Vodka People",1 November 1999,01.11.1999,https://demozoo.org//productions/311964/,"http://ftp.amigascne.org/pub/amiga/Groups/O/O-Others/OftenHide%26VP-KMac5.lha, https://archive.scene.org/pub/mirrors/amigascne/Groups/O/O-Others/OftenHide%26VP-KMac5.lha, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/O/O-Others/OftenHide%26VP-KMac5.lha",http://janeway.exotica.org.uk/release.php?id=96617
Krawall,Krawall,,"CONS, H2O, Streettuff, tEiS, Tristar and Red Sector Inc.",28 August 2011,28.08.2011,https://demozoo.org//productions/26855/,"http://www.talismoon.com/demoscene/trsi_krawall_wild_fin.mp4, https://files.scene.org/get/parties/2011/demodays11/non-realtime/trsi_krawall_wild_fin.mp4, https://files.scene.org/view/parties/2011/demodays11/non-realtime/trsi_krawall_wild_fin.mp4","https://www.pouet.net/prod.php?which=57611, https://www.youtube.com/watch?v=glzkq4_6qaE"
Kraweznik 1,Kraweznik,Amiga OCS/ECS,Status OK,1993,01.01.1993,https://demozoo.org//productions/195708/,"http://ftp.amigascne.org/pub/amiga/Groups/S/StatusOk/SOK-Kraweznik1a.adf, https://archive.scene.org/pub/mirrors/amigascne/Groups/S/StatusOk/SOK-Kraweznik1a.adf, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/S/StatusOk/SOK-Kraweznik1a.adf, http://ftp.amigascne.org/pub/amiga/Groups/S/StatusOk/SOK-Kraweznik1b.adf, https://archive.scene.org/pub/mirrors/amigascne/Groups/S/StatusOk/SOK-Kraweznik1b.adf, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/S/StatusOk/SOK-Kraweznik1b.adf, https://files.scene.org/get/mags/kraweznik/kraweznik1a.dms, https://files.scene.org/view/mags/kraweznik/kraweznik1a.dms, https://files.scene.org/get/mags/kraweznik/kraweznik1b.dms, https://files.scene.org/view/mags/kraweznik/kraweznik1b.dms","http://janeway.exotica.org.uk/release.php?id=71881, https://www.pouet.net/prod.php?which=78891"
Kraweznik 2,Kraweznik,Amiga OCS/ECS,Status OK,1994,01.01.1994,https://demozoo.org//productions/195726/,"http://ftp.amigascne.org/pub/amiga/Groups/S/StatusOk/SOK-Kraweznik2.adf, https://archive.scene.org/pub/mirrors/amigascne/Groups/S/StatusOk/SOK-Kraweznik2.adf, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/S/StatusOk/SOK-Kraweznik2.adf, https://files.scene.org/get/mags/kraweznik/kraweznik2.dms, https://files.scene.org/view/mags/kraweznik/kraweznik2.dms","http://janeway.exotica.org.uk/release.php?id=71884, https://www.pouet.net/prod.php?which=78896"
Kriik 4,Kriik,ZX Spectrum,Skrju,October 2004,01.10.2004,https://demozoo.org//productions/116516/,http://zxpress.ru/files/KRIIK4ZX.ZIP,https://www.pouet.net/prod.php?which=57980
Kriik 4 (PDF),Kriik,Paper,Skrju,October 2004,01.10.2004,https://demozoo.org//productions/116515/,"https://files.scene.org/get/mags/kriik/kriik_10_04_%284%29.pdf, https://files.scene.org/view/mags/kriik/kriik_10_04_%284%29.pdf",https://www.pouet.net/prod.php?which=14113
