,issue,title,platform,release,collection,creator,description,downloads,format,identifier,item_size,language,mediatype,num_reviews,oai_updatedate,publicdate,publisher,reviewdate,subject,link
30,Diskazine Issue 1 January February 1983 Side 2,Diskazine,APPLE II,01.02.1983,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary",,Diskazine Issue 1 January February 1983 Side 2,81,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",Diskazine_Issue_1_January-February_1983_Side_2,250529,English,software,,"30.08.2016, 19.12.2016",30.08.2016,,,,https://archive.org/details/Diskazine_Issue_1_January-February_1983_Side_2
31,Diskazine Issue 2 March April 1983 Side 1,Diskazine,APPLE II,01.03.1983,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary",,Diskazine Issue 2 March April 1983 Side 1,457,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",Diskazine_Issue_2_March-April_1983_Side_1,5608053,English,software,,"30.08.2016, 23.12.2016",30.08.2016,,,,https://archive.org/details/Diskazine_Issue_2_March-April_1983_Side_1
32,Diskazine Issue 2 March April 1983 Side 2,Diskazine,APPLE II,01.04.1983,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary",,Diskazine Issue 2 March April 1983 Side 2,73,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",Diskazine_Issue_2_March-April_1983_Side_2,191385,English,software,,"30.08.2016, 23.12.2016",30.08.2016,,,,https://archive.org/details/Diskazine_Issue_2_March-April_1983_Side_2
33,Diskazine Issue 3 May June 1983 Side 1,Diskazine,APPLE II,01.05.1983,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary,emulation",,Diskazine Issue 3 May June 1983 Side 1,127,"Animated GIF,Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Diskazine_Issue_3_May-June_1983_Side_1,392746,English,software,,"30.08.2016, 01.04.2022",30.08.2016,,,,https://archive.org/details/Diskazine_Issue_3_May-June_1983_Side_1
34,Diskazine Issue 3 May June 1983 Side 2,Diskazine,APPLE II,01.06.1983,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary",,Diskazine Issue 3 May June 1983 Side 2,88,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",Diskazine_Issue_3_May-June_1983_Side_2,239138,English,software,,"30.08.2016, 23.12.2016",30.08.2016,,,,https://archive.org/details/Diskazine_Issue_3_May-June_1983_Side_2
35,Diskazine Issue 4 July August 1983 Side 1,Diskazine,APPLE II,01.07.1983,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary",,Diskazine Issue 4 July August 1983 Side 1,92,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",Diskazine_Issue_4_July-August_1983_Side_1,1144247,English,software,,"30.08.2016, 23.12.2016",30.08.2016,,,,https://archive.org/details/Diskazine_Issue_4_July-August_1983_Side_1
36,Diskazine Issue 4 July August 1983 Side 2,Diskazine,APPLE II,01.08.1983,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary",,Diskazine Issue 4 July August 1983 Side 2,81,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",Diskazine_Issue_4_July-August_1983_Side_2,239181,English,software,,"30.08.2016, 23.12.2016",30.08.2016,,,,https://archive.org/details/Diskazine_Issue_4_July-August_1983_Side_2
37,Diskazine Issue 5 September October 1983 Side 1,Diskazine,APPLE II,01.09.1983,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary",,Diskazine Issue 5 September October 1983 Side 1,292,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",Diskazine_Issue_5_September-October_1983_Side_1,1352885,English,software,,"30.08.2016, 23.12.2016",30.08.2016,,,,https://archive.org/details/Diskazine_Issue_5_September-October_1983_Side_1
38,Diskazine Issue 5 September October 1983 Side 2,Diskazine,APPLE II,01.10.1983,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary",,Diskazine Issue 5 September October 1983 Side 2,83,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",Diskazine_Issue_5_September-October_1983_Side_2,240814,English,software,,"30.08.2016, 23.12.2016",30.08.2016,,,,https://archive.org/details/Diskazine_Issue_5_September-October_1983_Side_2
39,Diskazine Issue 6 November December 1983 Side 1,Diskazine,APPLE II,01.11.1983,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary",,Diskazine Issue 6 November December 1983 Side 1,200,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",Diskazine_Issue_6_November-December_1983_Side_1,2252289,English,software,,"30.08.2016, 23.12.2016",30.08.2016,,,,https://archive.org/details/Diskazine_Issue_6_November-December_1983_Side_1
