issue,title,platform,group,release,release_converted,link,download_links,external_links
Addybook #11,Addybook,Commodore 64,Blaze,october 1992,01.10.1992,https://www.pouet.net/prod.php?which=7911,https://files.scene.org/view/mirrors/padua/Magazines/mags.c64.org/a-z/A/addybook11.zip,"http://csdb.dk/release/?id=10110, https://www.pouet.net/mirrors.php?which=7911"
Addybook #12,Addybook,Commodore 64,Oxyron,february 1993,01.02.1993,https://www.pouet.net/prod.php?which=7910,https://files.scene.org/view/mirrors/padua/Magazines/mags.c64.org/a-z/A/addybook12.zip,"http://csdb.dk/release/?id=3351, http://demozoo.org/productions/154726/, https://www.pouet.net/mirrors.php?which=7910"
Addybook #13,Addybook,Commodore 64,Oxyron,july 1993,01.07.1993,https://www.pouet.net/prod.php?which=7909,https://files.scene.org/view/mirrors/padua/Magazines/mags.c64.org/a-z/A/addybook13.zip,"http://csdb.dk/release/?id=10111, http://demozoo.org/productions/154727/, https://www.pouet.net/mirrors.php?which=7909"
Addybook #14,Addybook,Commodore 64,Oxyron,october 1993,01.10.1993,https://www.pouet.net/prod.php?which=7908,https://files.scene.org/view/mirrors/padua/Magazines/mags.c64.org/a-z/A/addybook14.zip,"http://csdb.dk/release/?id=5582, http://demozoo.org/productions/154728/, https://www.pouet.net/mirrors.php?which=7908"
Addybook #15,Addybook,Commodore 64,Oxyron,february 1994,01.02.1994,https://www.pouet.net/prod.php?which=7907,https://files.scene.org/view/mirrors/padua/Magazines/mags.c64.org/a-z/A/addybook15.zip,"http://csdb.dk/release/?id=4738, http://demozoo.org/productions/154729/, https://www.pouet.net/mirrors.php?which=7907"
Addybook #2,Addybook,Commodore 64,Blaze,october 1991,01.10.1991,https://www.pouet.net/prod.php?which=7903,https://files.scene.org/view/mirrors/padua/Magazines/mags.c64.org/a-z/A/addybook02.zip,"http://csdb.dk/release/?id=10103, http://demozoo.org/productions/93561/, https://www.pouet.net/mirrors.php?which=7903"
Addybook #3,Addybook,Commodore 64,Blaze,november 1991,01.11.1991,https://www.pouet.net/prod.php?which=7904,https://files.scene.org/view/mirrors/padua/Magazines/mags.c64.org/a-z/A/addybook03.zip,"http://csdb.dk/release/?id=10104, http://demozoo.org/productions/93562/, https://www.pouet.net/mirrors.php?which=7904"
Addybook #4,Addybook,Commodore 64,Blaze,1991,01.01.1991,https://www.pouet.net/prod.php?which=45931,http://csdb.dk/getinternalfile.php/39211/Addybook_04.zip,"http://csdb.dk/release/?id=5149, http://demozoo.org/productions/93563/, https://www.pouet.net/mirrors.php?which=45931"
Addybook #5,Addybook,Commodore 64,Blaze,january 1992,01.01.1992,https://www.pouet.net/prod.php?which=7917,https://files.scene.org/view/mirrors/padua/Magazines/mags.c64.org/a-z/A/addybook05.zip,"http://csdb.dk/release/?id=3486, http://demozoo.org/productions/93564/, https://www.pouet.net/mirrors.php?which=7917"
Addybook #6,Addybook,Commodore 64,Blaze,february 1992,01.02.1992,https://www.pouet.net/prod.php?which=7916,https://files.scene.org/view/mirrors/padua/Magazines/mags.c64.org/a-z/A/addybook06.zip,"http://csdb.dk/release/?id=10105, http://demozoo.org/productions/93565/, https://www.pouet.net/mirrors.php?which=7916"
Addybook #7,Addybook,Commodore 64,Blaze,march 1992,01.03.1992,https://www.pouet.net/prod.php?which=7915,https://files.scene.org/view/mirrors/padua/Magazines/mags.c64.org/a-z/A/addybook07.zip,"http://csdb.dk/release/?id=10106, http://demozoo.org/productions/93850/, https://www.pouet.net/mirrors.php?which=7915"
Addybook #8,Addybook,Commodore 64,Blaze,may 1992,01.05.1992,https://www.pouet.net/prod.php?which=7914,https://files.scene.org/view/mirrors/padua/Magazines/mags.c64.org/a-z/A/addybook08.zip,"http://csdb.dk/release/?id=10107, https://www.pouet.net/mirrors.php?which=7914"
Addybook #9,Addybook,Commodore 64,Blaze,june 1992,01.06.1992,https://www.pouet.net/prod.php?which=7913,https://files.scene.org/view/mirrors/padua/Magazines/mags.c64.org/a-z/A/addybook09.zip,"http://csdb.dk/release/?id=10108, https://www.pouet.net/mirrors.php?which=7913"
Adrenalin Magazine,Adrenalin Magazine,MS-Dos,,march 1993,01.03.1993,https://www.pouet.net/prod.php?which=22540,https://ftp.untergrund.net/users/irokos/magz/adrenalin/adren-1.zip,https://www.pouet.net/mirrors.php?which=22540
Advanced Pirate Technology Magazine #1,Advanced Pirate Technology Magazine,MS-Dos,,november 1991,01.11.1991,https://www.pouet.net/prod.php?which=22541,https://ftp.untergrund.net/users/irokos/magz/advanced%20pirate%20technology/apt-mag1.zip,https://www.pouet.net/mirrors.php?which=22541
Advanced Pirate Technology Magazine #2,Advanced Pirate Technology Magazine,MS-Dos,,december 1991,01.12.1991,https://www.pouet.net/prod.php?which=22542,https://ftp.untergrund.net/users/irokos/magz/advanced%20pirate%20technology/apt-mag2.zip,https://www.pouet.net/mirrors.php?which=22542
Advanced Pirate Technology Magazine #3,Advanced Pirate Technology Magazine,MS-Dos,,december 1991,01.12.1991,https://www.pouet.net/prod.php?which=22543,https://ftp.untergrund.net/users/irokos/magz/advanced%20pirate%20technology/apt-mag3.zip,https://www.pouet.net/mirrors.php?which=22543
Adventurer #01,Adventurer,ZX Spectrum,CyberPunks Unity,january 1996,01.01.1996,https://www.pouet.net/prod.php?which=14715,http://cpu.untergrund.net/releases/advent/Advent1.zip,"http://demozoo.org/productions/165510/, https://www.pouet.net/mirrors.php?which=14715"
