issue,title,platform,release,collection,creator,description,downloads,format,identifier,item_size,language,mediatype,num_reviews,oai_updatedate,publicdate,publisher,reviewdate,subject,link
64'er Magazin 86 01 (1986)(Markt & Technik)(de),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 86 01 (1986)(Markt & Technik)(de),120,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_86-01_1986_Markt_Technik_de,677306,English,software,,"14.04.2021, 11.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_86-01_1986_Markt_Technik_de
64'er Magazin 86 02 (1986)(Markt & Technik)(de),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 86 02 (1986)(Markt & Technik)(de),97,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_86-02_1986_Markt_Technik_de,677309,English,software,,"14.04.2021, 18.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_86-02_1986_Markt_Technik_de
64'er Magazin 86 03 (1986)(Markt & Technik)(de),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 86 03 (1986)(Markt & Technik)(de),109,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_86-03_1986_Markt_Technik_de,1110089,English,software,,"14.04.2021, 17.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_86-03_1986_Markt_Technik_de
64'er Magazin 86 04 (1986)(Markt & Technik)(de),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 86 04 (1986)(Markt & Technik)(de),114,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_86-04_1986_Markt_Technik_de,1199629,English,software,,"14.04.2021, 20.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_86-04_1986_Markt_Technik_de
64'er Magazin 86 05 (1986)(Markt & Technik)(de),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 86 05 (1986)(Markt & Technik)(de),101,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_86-05_1986_Markt_Technik_de,1323849,English,software,,"14.04.2021, 17.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_86-05_1986_Markt_Technik_de
64'er Magazin 86 06 (1986)(Markt & Technik)(de)(Side A),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 86 06 (1986)(Markt & Technik)(de)(Side A),89,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_86-06_1986_Markt_Technik_de_Side_A,521676,English,software,,"14.04.2021, 20.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_86-06_1986_Markt_Technik_de_Side_A
64'er Magazin 86 06 (1986)(Markt & Technik)(de)(Side B),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 86 06 (1986)(Markt & Technik)(de)(Side B),88,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_86-06_1986_Markt_Technik_de_Side_B,380233,English,software,,"14.04.2021, 06.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_86-06_1986_Markt_Technik_de_Side_B
64'er Magazin 86 07 (1986)(Markt & Technik)(de),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 86 07 (1986)(Markt & Technik)(de),88,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_86-07_1986_Markt_Technik_de,862748,English,software,,"14.04.2021, 15.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_86-07_1986_Markt_Technik_de
64'er Magazin 86 08 (1986)(Markt & Technik)(de)(Side A),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 86 08 (1986)(Markt & Technik)(de)(Side A),89,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_86-08_1986_Markt_Technik_de_Side_A,620959,English,software,,"14.04.2021, 19.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_86-08_1986_Markt_Technik_de_Side_A
64'er Magazin 86 08 (1986)(Markt & Technik)(de)(Side B),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 86 08 (1986)(Markt & Technik)(de)(Side B),83,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_86-08_1986_Markt_Technik_de_Side_B,580686,English,software,,"14.04.2021, 11.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_86-08_1986_Markt_Technik_de_Side_B
