issue,title,platform,release,collection,creator,description,downloads,format,identifier,item_size,language,mediatype,num_reviews,oai_updatedate,publicdate,publisher,reviewdate,subject,link
Loadstar Issue #166 (199x)(Softdisk)(Side B),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #166 (199x)(Softdisk)(Side B),38,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_166_199x_Softdisk_Side_B,309372,English,software,,"15.04.2021, 16.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_166_199x_Softdisk_Side_B
Loadstar Issue #166 (199x)(Softdisk)(Side C),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #166 (199x)(Softdisk)(Side C),59,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_166_199x_Softdisk_Side_C,640857,English,software,,"15.04.2021, 16.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_166_199x_Softdisk_Side_C
Loadstar Issue #166 (199x)(Softdisk)(Side D),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #166 (199x)(Softdisk)(Side D),35,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_166_199x_Softdisk_Side_D,392610,English,software,,"15.04.2021, 17.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_166_199x_Softdisk_Side_D
Loadstar Issue #167 (199x)(Softdisk)(Side A),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #167 (199x)(Softdisk)(Side A),36,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_167_199x_Softdisk_Side_A,740097,English,software,,"15.04.2021, 16.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_167_199x_Softdisk_Side_A
Loadstar Issue #167 (199x)(Softdisk)(Side B),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #167 (199x)(Softdisk)(Side B),52,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_167_199x_Softdisk_Side_B,481397,English,software,,"15.04.2021, 16.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_167_199x_Softdisk_Side_B
Loadstar Issue #167 (199x)(Softdisk)(Side C),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #167 (199x)(Softdisk)(Side C),61,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_167_199x_Softdisk_Side_C,385979,English,software,,"15.04.2021, 16.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_167_199x_Softdisk_Side_C
Loadstar Issue #167 (199x)(Softdisk)(Side D),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #167 (199x)(Softdisk)(Side D),55,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_167_199x_Softdisk_Side_D,391826,English,software,,"15.04.2021, 16.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_167_199x_Softdisk_Side_D
Loadstar Issue #168 (199x)(Softdisk)(Side A),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #168 (199x)(Softdisk)(Side A),54,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_168_199x_Softdisk_Side_A,492709,English,software,,"15.04.2021, 16.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_168_199x_Softdisk_Side_A
Loadstar Issue #168 (199x)(Softdisk)(Side B),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #168 (199x)(Softdisk)(Side B),29,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_168_199x_Softdisk_Side_B,497415,English,software,,"15.04.2021, 16.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_168_199x_Softdisk_Side_B
Loadstar Issue #168 (199x)(Softdisk)(Side C),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #168 (199x)(Softdisk)(Side C),46,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_168_199x_Softdisk_Side_C,497418,English,software,,"15.04.2021, 17.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_168_199x_Softdisk_Side_C
Loadstar Issue #168 (199x)(Softdisk)(Side D),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #168 (199x)(Softdisk)(Side D),46,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_168_199x_Softdisk_Side_D,391384,English,software,,"15.04.2021, 16.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_168_199x_Softdisk_Side_D
Loadstar Issue #169 (199x)(Softdisk)(Side A),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #169 (199x)(Softdisk)(Side A),31,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_169_199x_Softdisk_Side_A,597533,English,software,,"15.04.2021, 17.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_169_199x_Softdisk_Side_A
Loadstar Issue #169 (199x)(Softdisk)(Side B),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #169 (199x)(Softdisk)(Side B),42,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_169_199x_Softdisk_Side_B,669000,English,software,,"15.04.2021, 16.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_169_199x_Softdisk_Side_B
Loadstar Issue #169 (199x)(Softdisk)(Side C),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #169 (199x)(Softdisk)(Side C),45,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_169_199x_Softdisk_Side_C,498433,English,software,,"15.04.2021, 16.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_169_199x_Softdisk_Side_C
Loadstar Issue #169 (199x)(Softdisk)(Side D),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #169 (199x)(Softdisk)(Side D),38,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_169_199x_Softdisk_Side_D,744173,English,software,,"15.04.2021, 16.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_169_199x_Softdisk_Side_D
Loadstar Issue #170 (199x)(Softdisk)(Side A),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #170 (199x)(Softdisk)(Side A),39,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_170_199x_Softdisk_Side_A,689240,English,software,,"15.04.2021, 17.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_170_199x_Softdisk_Side_A
Loadstar Issue #170 (199x)(Softdisk)(Side B),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #170 (199x)(Softdisk)(Side B),47,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_170_199x_Softdisk_Side_B,496204,English,software,,"15.04.2021, 17.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_170_199x_Softdisk_Side_B
Loadstar Issue #170 (199x)(Softdisk)(Side C),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #170 (199x)(Softdisk)(Side C),51,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_170_199x_Softdisk_Side_C,672440,English,software,,"15.04.2021, 17.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_170_199x_Softdisk_Side_C
Loadstar Issue #170 (199x)(Softdisk)(Side D),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #170 (199x)(Softdisk)(Side D),68,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_170_199x_Softdisk_Side_D,420605,English,software,,"15.04.2021, 16.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_170_199x_Softdisk_Side_D
Loadstar Issue #171 (199x)(Softdisk)(Side A),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #171 (199x)(Softdisk)(Side A),63,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_171_199x_Softdisk_Side_A,773317,English,software,,"15.04.2021, 16.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_171_199x_Softdisk_Side_A
Loadstar Issue #171 (199x)(Softdisk)(Side B),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #171 (199x)(Softdisk)(Side B),47,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_171_199x_Softdisk_Side_B,483261,English,software,,"15.04.2021, 16.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_171_199x_Softdisk_Side_B
Loadstar Issue #171 (199x)(Softdisk)(Side C),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #171 (199x)(Softdisk)(Side C),47,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_171_199x_Softdisk_Side_C,483261,English,software,,"15.04.2021, 16.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_171_199x_Softdisk_Side_C
Loadstar Issue #171 (199x)(Softdisk)(Side D),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #171 (199x)(Softdisk)(Side D),43,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_171_199x_Softdisk_Side_D,405277,English,software,,"15.04.2021, 16.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_171_199x_Softdisk_Side_D
Loadstar Issue #172 (199x)(Softdisk)(Side A),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #172 (199x)(Softdisk)(Side A),33,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_172_199x_Softdisk_Side_A,1583946,English,software,,"15.04.2021, 17.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_172_199x_Softdisk_Side_A
Loadstar Issue #172 (199x)(Softdisk)(Side B),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #172 (199x)(Softdisk)(Side B),66,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_172_199x_Softdisk_Side_B,484925,English,software,,"15.04.2021, 17.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_172_199x_Softdisk_Side_B
Loadstar Issue #172 (199x)(Softdisk)(Side C),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #172 (199x)(Softdisk)(Side C),41,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_172_199x_Softdisk_Side_C,497112,English,software,,"15.04.2021, 17.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_172_199x_Softdisk_Side_C
Loadstar Issue #172 (199x)(Softdisk)(Side D),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #172 (199x)(Softdisk)(Side D),44,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_172_199x_Softdisk_Side_D,392843,English,software,,"15.04.2021, 17.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_172_199x_Softdisk_Side_D
Loadstar Issue #173 (199x)(Softdisk)(Side A),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #173 (199x)(Softdisk)(Side A),44,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_173_199x_Softdisk_Side_A,543273,English,software,,"15.04.2021, 16.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_173_199x_Softdisk_Side_A
Loadstar Issue #173 (199x)(Softdisk)(Side B),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #173 (199x)(Softdisk)(Side B),52,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_173_199x_Softdisk_Side_B,496684,English,software,,"15.04.2021, 17.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_173_199x_Softdisk_Side_B
Loadstar Issue #173 (199x)(Softdisk)(Side C),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #173 (199x)(Softdisk)(Side C),104,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_173_199x_Softdisk_Side_C,496602,English,software,,"15.04.2021, 16.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_173_199x_Softdisk_Side_C
Loadstar Issue #173 (199x)(Softdisk)(Side D),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #173 (199x)(Softdisk)(Side D),64,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_173_199x_Softdisk_Side_D,405372,English,software,,"15.04.2021, 16.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_173_199x_Softdisk_Side_D
Loadstar Issue #174 (199x)(Softdisk)(Side A),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #174 (199x)(Softdisk)(Side A),41,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_174_199x_Softdisk_Side_A,606064,English,software,,"15.04.2021, 16.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_174_199x_Softdisk_Side_A
Loadstar Issue #174 (199x)(Softdisk)(Side B),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #174 (199x)(Softdisk)(Side B),39,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_174_199x_Softdisk_Side_B,472765,English,software,,"15.04.2021, 17.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_174_199x_Softdisk_Side_B
Loadstar Issue #174 (199x)(Softdisk)(Side C),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #174 (199x)(Softdisk)(Side C),62,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_174_199x_Softdisk_Side_C,498672,English,software,,"15.04.2021, 16.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_174_199x_Softdisk_Side_C
Loadstar Issue #174 (199x)(Softdisk)(Side D),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #174 (199x)(Softdisk)(Side D),40,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_174_199x_Softdisk_Side_D,392466,English,software,,"15.04.2021, 16.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_174_199x_Softdisk_Side_D
Loadstar Issue #175 (199x)(Softdisk)(Side A),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #175 (199x)(Softdisk)(Side A),31,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_175_199x_Softdisk_Side_A,584629,English,software,,"15.04.2021, 17.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_175_199x_Softdisk_Side_A
Loadstar Issue #175 (199x)(Softdisk)(Side B),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #175 (199x)(Softdisk)(Side B),63,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_175_199x_Softdisk_Side_B,615211,English,software,,"15.04.2021, 17.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_175_199x_Softdisk_Side_B
Loadstar Issue #175 (199x)(Softdisk)(Side C),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #175 (199x)(Softdisk)(Side C),39,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_175_199x_Softdisk_Side_C,383023,English,software,,"15.04.2021, 16.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_175_199x_Softdisk_Side_C
Loadstar Issue #175 (199x)(Softdisk)(Side D),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #175 (199x)(Softdisk)(Side D),44,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_175_199x_Softdisk_Side_D,379330,English,software,,"15.04.2021, 17.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_175_199x_Softdisk_Side_D
Loadstar Issue #176 (199x)(Softdisk)(Side A),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #176 (199x)(Softdisk)(Side A),43,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_176_199x_Softdisk_Side_A,915809,English,software,,"15.04.2021, 16.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_176_199x_Softdisk_Side_A
Loadstar Issue #176 (199x)(Softdisk)(Side B),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #176 (199x)(Softdisk)(Side B),32,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_176_199x_Softdisk_Side_B,548930,English,software,,"15.04.2021, 16.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_176_199x_Softdisk_Side_B
Loadstar Issue #176 (199x)(Softdisk)(Side C),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #176 (199x)(Softdisk)(Side C),58,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_176_199x_Softdisk_Side_C,985797,English,software,,"15.04.2021, 16.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_176_199x_Softdisk_Side_C
Loadstar Issue #176 (199x)(Softdisk)(Side D),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #176 (199x)(Softdisk)(Side D),30,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_176_199x_Softdisk_Side_D,391381,English,software,,"15.04.2021, 16.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_176_199x_Softdisk_Side_D
Loadstar Issue #177 (199x)(Softdisk)(Side A),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #177 (199x)(Softdisk)(Side A),43,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_177_199x_Softdisk_Side_A,998239,English,software,,"15.04.2021, 16.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_177_199x_Softdisk_Side_A
Loadstar Issue #177 (199x)(Softdisk)(Side B),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #177 (199x)(Softdisk)(Side B),70,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_177_199x_Softdisk_Side_B,443240,English,software,,"15.04.2021, 17.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_177_199x_Softdisk_Side_B
Loadstar Issue #177 (199x)(Softdisk)(Side C),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #177 (199x)(Softdisk)(Side C),29,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_177_199x_Softdisk_Side_C,536609,English,software,,"15.04.2021, 16.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_177_199x_Softdisk_Side_C
Loadstar Issue #177 (199x)(Softdisk)(Side D),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #177 (199x)(Softdisk)(Side D),44,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_177_199x_Softdisk_Side_D,404431,English,software,,"15.04.2021, 17.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_177_199x_Softdisk_Side_D
Loadstar Issue #178 (199x)(Softdisk)(Side A),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #178 (199x)(Softdisk)(Side A),60,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_178_199x_Softdisk_Side_A,677931,English,software,,"15.04.2021, 17.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_178_199x_Softdisk_Side_A
Loadstar Issue #178 (199x)(Softdisk)(Side B),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #178 (199x)(Softdisk)(Side B),47,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_178_199x_Softdisk_Side_B,392466,English,software,,"15.04.2021, 16.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_178_199x_Softdisk_Side_B
Loadstar Issue #178 (199x)(Softdisk)(Side C),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #178 (199x)(Softdisk)(Side C),61,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_178_199x_Softdisk_Side_C,435042,English,software,,"15.04.2021, 16.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_178_199x_Softdisk_Side_C
Loadstar Issue #178 (199x)(Softdisk)(Side D),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #178 (199x)(Softdisk)(Side D),43,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_178_199x_Softdisk_Side_D,257814,English,software,,"15.04.2021, 16.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_178_199x_Softdisk_Side_D
Loadstar Issue #179 (199x)(Softdisk)(Side A),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #179 (199x)(Softdisk)(Side A),41,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_179_199x_Softdisk_Side_A,532252,English,software,,"15.04.2021, 16.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_179_199x_Softdisk_Side_A
Loadstar Issue #179 (199x)(Softdisk)(Side B),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #179 (199x)(Softdisk)(Side B),47,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_179_199x_Softdisk_Side_B,473685,English,software,,"15.04.2021, 16.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_179_199x_Softdisk_Side_B
Loadstar Issue #179 (199x)(Softdisk)(Side C),Loadstar,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,Loadstar Issue #179 (199x)(Softdisk)(Side C),30,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Loadstar_Issue_179_199x_Softdisk_Side_C,615208,English,software,,"15.04.2021, 16.04.2021",15.04.2021,,,,https://archive.org/details/Loadstar_Issue_179_199x_Softdisk_Side_C
